cluster_id,uswir_t5,srnr_t5,buysumm_fixed_t5,buysumm_ref_t5,ivd_t5,file_id,uswir_centroid,srnr_centroid,buysumm_fixed_centroid,buysumm_ref_centroid,ivd_centroid,uswir_keybert,srnr_keybert,buysumm_fixed_keybert,buysumm_ref_keybert,ivd_keybert
137,0.763699471950531,0.48120787739753723,0.0,0.5,2.0,cluster_minilm_hdbscan_2,0.8295918703079224,0.61134272813797,0.0,1.0,2.75,0.7173995971679688,0.0,0.0,,0.0
138,0.736209511756897,0.39304542541503906,0.0,0.6,0.0,cluster_minilm_hdbscan_2,0.7338298559188843,0.3624737560749054,0.1,0.9,0.6153846153846154,0.6705782413482666,0.0,0.0,,0.0
139,0.613319993019104,0.5275894999504089,0.0,0.9,2.5,cluster_minilm_hdbscan_2,0.6880935430526733,0.22319823503494263,0.2,1.0,0.775,0.5784887671470642,0.0,0.0,,4.0
140,0.2809104025363922,0.0,0.0,0.5,1.0,cluster_minilm_hdbscan_2,0.6864975690841675,0.1807727813720703,0.0,1.0,0.2222222222222222,0.356090247631073,0.0,0.0,,0.0
141,0.6971168518066406,0.5982792377471924,0.0,0.7,0.5,cluster_minilm_hdbscan_2,0.8138090372085571,0.2527712881565094,0.1,1.0,1.0,0.652299165725708,0.0,0.0,,0.0
142,0.6486642360687256,0.5619193911552429,0.1,0.5,0.0,cluster_minilm_hdbscan_2,0.8419244289398193,0.39747053384780884,0.1,1.0,0.5,0.7032918930053711,0.0,0.0,,2.0
143,0.5988255739212036,0.180935338139534,0.1,0.25,0.5,cluster_minilm_hdbscan_2,0.7819986343383789,0.31202828884124756,0.2,1.0,1.0,0.4549560248851776,0.0,0.0,,1.0
144,0.66620934009552,0.2950696051120758,0.1,0.8,1.0,cluster_minilm_hdbscan_2,0.7814925312995911,0.4160861670970917,0.1,1.0,0.7,0.6619088649749756,0.0,0.1,,0.0
145,0.6049759387969971,0.0,0.1,0.25,0.0,cluster_minilm_hdbscan_2,0.8753941059112549,0.35508713126182556,0.2,1.0,0.375,0.6040118932723999,0.0,0.0,,0.0
146,0.7658863067626953,0.19120430946350098,0.0,0.5,0.3333333333333333,cluster_minilm_hdbscan_2,0.7859746813774109,0.32192087173461914,0.1,0.9,0.4166666666666667,0.5088006258010864,0.0,0.0,,0.0
147,0.57526034116745,0.19188864529132843,0.0,0.6666666666666666,0.0,cluster_minilm_hdbscan_2,0.5908371210098267,0.2202611118555069,0.0,1.0,0.08333333333333333,0.17340660095214844,0.0,0.0,,2.0
148,0.5444547533988953,0.14498643577098846,0.0,0.0,0.5,cluster_minilm_hdbscan_2,0.6142085194587708,0.2766595780849457,0.1,0.7,0.6,0.5025151968002319,0.0,0.0,,0.0
149,0.6530758738517761,0.34069862961769104,0.0,0.6,1.0,cluster_minilm_hdbscan_2,0.7598289251327515,0.3435266315937042,0.2,1.0,0.6363636363636364,0.49931830167770386,0.0,0.0,,0.0
150,0.2788490056991577,0.16373540461063385,0.1,0.0,0.25,cluster_minilm_hdbscan_2,0.6969304084777832,0.26205065846443176,0.2,0.9,0.75,0.4784442186355591,0.0,0.0,,1.0
151,0.6293477416038513,0.1333954930305481,0.0,0.4444444444444444,0.5,cluster_minilm_hdbscan_2,0.7921737432479858,0.2204238772392273,0.1,1.0,0.5714285714285714,0.5869603157043457,0.0,0.1,,0.0
